age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
24,Masculin,432,Célibataire,0,FALSE,1482 YR 80
61,M,179,Célibataire,0,FALSE,1313 NY 98
45,M,157,En Couple,4,TRUE,6881 OO 47
25,F,1017,En Couple,1,FALSE,2600 NK 11
40,M,1149,Célibataire,0,FALSE,2834 ZK 77
26,M,161,En Couple,2,FALSE,5131 NB 60
49,F,818,Seule,3,FALSE,5471 BI 54
23,M,1382,Célibataire,0,FALSE,913 UF 28
57,M,202,Célibataire,0,FALSE,708 VO 14
58,M,486,Célibataire,0,?,4457 UN 75
83,M,800,Célibataire,0,FALSE,950 LD 79
28,M,504,En Couple,2,TRUE,8655 FP 18
41,M,928,Seule,2,FALSE,4980 QH 29
28,M,547,En Couple,1,FALSE,1079 PT 86
22,F,446,Célibataire,0,FALSE,3176 HT 73
51,M,202,Célibataire,0,FALSE,2783 UN 68
44,F,438,En Couple,1,FALSE,437 XU 92
27,M,546,En Couple,1,FALSE,671 DF 37
21,M,970,Célibataire,0,FALSE,2615 BK 75
20,M,491,En Couple,4,FALSE,2489 SP 23
30,M,1229,En Couple,1,FALSE,5032 GZ 89
81,F,1025,Célibataire,0,FALSE,7066 NS 68
52,Homme,457,En Couple,1,FALSE,8535 YJ 56
56,F,494,En Couple,4,FALSE,8105 HP 71
59,M,492,Célibataire,0,FALSE,2896 EP 88
46,M,402,En Couple,4,FALSE,7189 HS 10
83,M,195,En Couple,4,FALSE,3481 KO 57
58,M,503,En Couple,0,FALSE,7193 CL 15
53,M,465,En Couple,1,FALSE,9968 EG 27
24,M,225,En Couple,0,TRUE,5849 ZT 35
56,F,1104,En Couple,2,FALSE,4095 IO 50
62,M,461,En Couple,1,FALSE,9748 WS 15
27,M,1353,En Couple,2,FALSE,3226 DO 11
55,F,1358,En Couple,0,FALSE,5569 OJ 64
66,M,994,En Couple,1,FALSE,3390 QB 54
23,M,1189,Célibataire,0,FALSE,4932 QK 69
20,M,953,En Couple,2,FALSE,257 GB 77
40,M,1121,Célibataire,0,FALSE,6808 DX 18
54,M,403,En Couple,2,FALSE,1878 OQ 15
53,M,737,Célibataire,0,FALSE,4707 PA 87
38,M,415,Célibataire,0,FALSE,2343 AP 92
28,M,445,En Couple,4,TRUE,9335 CE 86
54,Homme,1311,En Couple,2,FALSE,3451 GP 11
23,F,1189,En Couple,4,FALSE,637 NJ 53
65,F,996,En Couple,1,FALSE,4783 QA 71
57,M,971,Célibataire,0,FALSE,6425 AM 44
62,F,167, ,0,FALSE,1695 ZX 54
61,M,1225,En Couple,0,FALSE,8203 BO 46
42,M,884,En Couple,2,FALSE,6748 JL 31
77,M,433,En Couple,4,FALSE,1738 PC 46
58,M,582,En Couple,1,FALSE,1524 XG 65
78,M,962,En Couple,4,FALSE,4856 JP 61
72,F,478,Célibataire,0,FALSE,3631 VQ 96
21,F,234,En Couple,1,FALSE,9666 DS 89
63,M,486,Célibataire,0,FALSE,5549 UV 76
82,F,784,En Couple,4,FALSE,3503 JK 24
29,M,1026,En Couple,1,FALSE,491 DK 73
37,M,539,Seule,1,FALSE,2622 DP 10
50,M,1338,En Couple,3,TRUE,4573 NQ 72
32,M,231,En Couple,0,FALSE,5818 TB 20
31,M,401,Célibataire,0,FALSE,5826 TX 36
49,M,186,En Couple,2,FALSE,1495 IE 77
18,M,160,En Couple,2,TRUE,5221 JK 74
55,M,496,En Couple,1,FALSE,6211 PF 80
52,M, ,Célibataire,0,FALSE,3401 OP 64
43,F,598,En Couple,1,FALSE,3640 ZA 75
82,M,595,Célibataire,0,FALSE,6057 TX 17
27,F,868,Marié(e),0,FALSE,7942 WP 46
24,F,217,En Couple,4,TRUE,8719 IC 10
48,M,552,Célibataire,0,FALSE,3883 IE 78
22, ,1289,En Couple,0,TRUE,1340 AU 53
55,M,931,Célibataire,0,FALSE,9692 MK 25
50,Masculin,400,Célibataire,0,FALSE,1465 DK 13
19,M,465,En Couple,4,FALSE,3515 ES 91
57,F,486,En Couple,2,FALSE,318 KX 21
38,F,761,En Couple,2,TRUE,385 CU 73
22,F,962,En Couple,1,FALSE,4073 GQ 72
28,F,1205,En Couple,2,FALSE,258 EO 63
22,M,571,En Couple,1,FALSE,4820 TL 81
66,M,961,En Couple,1,TRUE,5902 NY 18
36,M,599,En Couple,2,FALSE,5105 IV 57
40,M,1027,En Couple,2,FALSE,1531 UI 57
58,M,881,Célibataire,0,FALSE,8351 TO 58
78,M,426,Célibataire,0,FALSE,270 YY 70
26,M,403,En Couple,0,FALSE,1204 EV 57
30,F,1257,En Couple,2,FALSE,1793 FV 17
58,M,945,En Couple,3,TRUE,4258 GF 70
43,M,571,Célibataire,0,FALSE,7355 BK 24
33,M,1040,Célibataire,0,FALSE,2564 DK 80
19,M,444,Célibataire,0,FALSE,2141 UL 72
74,M,1215,En Couple,1,FALSE,1391 MW 11
66,F,738,En Couple,3,FALSE,6897 LY 53
56,F,431,Célibataire,0,FALSE,8724 MH 23
27,M,477,En Couple,4,FALSE,8299 PL 78
24,M,597,Célibataire,0,FALSE,1226 SY 19
53,M,411,En Couple,1,TRUE,9913 AJ 41
26,M,443,En Couple,1,TRUE,6469 OH 93
57,F,430,En Couple,1,FALSE,4965 GY 18
28,F,1256,En Couple,3,FALSE,7780 NX 88
82,F,505,Célibataire,0,FALSE,3343 BI 59
37,M,194,En Couple,1,FALSE,9676 SC 96
46,F,976,En Couple,1,TRUE,4741 RT 72
24,M,402,En Couple,4,FALSE,5040 WG 64
60,F,198,En Couple,0,FALSE,8588 NK 40
46,M,582,En Couple,1,FALSE,3754 NG 28
30,F,784,En Couple,0,TRUE,1317 FW 97
28,M,1236,Célibataire,0,FALSE,5872 UR 50
20,M,752,En Couple,0,TRUE,9851 NZ 45
42,M,184,Célibataire,0,FALSE,8929 NO 98
45,F,794,En Couple,2,FALSE,5058 SN 96
33,F,226,En Couple,1,FALSE,8263 WJ 58
51,M,480,Célibataire,0,FALSE,4167 HK 47
36,M,576,Célibataire,0,FALSE,629 NN 93
29,M,159,En Couple,4,TRUE,3556 QY 19
18,Femme,1100,En Couple,1,FALSE,6456 QQ 98
84,M,475,Célibataire,0,FALSE,3802 QB 41
29,F,245,Célibataire,0,FALSE,1128 FZ 45
43,Homme,199,Célibataire,0,FALSE,6070 YM 37
59,M,401,Célibataire,0,FALSE,1685 ST 58
38,M,736,Célibataire,0,FALSE,9086 QE 49
36,F,552,En Couple,0,FALSE,796 AM 41
80,M,495,Célibataire,0,FALSE,8115 UN 45
26,M,436,En Couple,3,FALSE,6752 XN 72
25,M,212,Célibataire,0,FALSE,3359 DH 78
54,M,1315,En Couple,0,FALSE,5619 BL 88
73,F,479,Célibataire,0,FALSE,582 IA 94
65,F,576,Célibataire,0,FALSE,6253 YP 45
28,M,408,En Couple,1,TRUE,3430 TV 67
63,M,870,Célibataire,0,FALSE,593 RZ 58
60,M,169,En Couple,2,FALSE,8664 IS 70
81,M,495,Seule,2,FALSE,1212 FC 15
46,M,596,En Couple,0,FALSE,9326 NN 62
58,M,1326,Célibataire,0,FALSE,871 VT 59
27,M,589,En Couple,4,FALSE,3269 VO 92
